Method,Dataset,Pruning_Power
isax,ArrowHead,0.8817460317460317
sfa_equi-width_True,ArrowHead,0.9457142857142857
sfa_equi-width_False,ArrowHead,0.94
sfa_equi-depth_True,ArrowHead,0.9349206349206349
sfa_equi-depth_False,ArrowHead,0.9317460317460318
isax,Beef,0.9277777777777778
sfa_equi-width_True,Beef,0.9433333333333334
sfa_equi-width_False,Beef,0.9433333333333334
sfa_equi-depth_True,Beef,0.94
sfa_equi-depth_False,Beef,0.94
isax,BeetleFly,0.675
sfa_equi-width_True,BeetleFly,0.8025
sfa_equi-width_False,BeetleFly,0.78
sfa_equi-depth_True,BeetleFly,0.755
sfa_equi-depth_False,BeetleFly,0.7225
isax,BirdChicken,0.9125
sfa_equi-width_True,BirdChicken,0.9450000000000001
sfa_equi-width_False,BirdChicken,0.9425
sfa_equi-depth_True,BirdChicken,0.925
sfa_equi-depth_False,BirdChicken,0.925
isax,BME,0.904888888888889
sfa_equi-width_True,BME,0.9333333333333333
sfa_equi-width_False,BME,0.9337777777777778
sfa_equi-depth_True,BME,0.920888888888889
sfa_equi-depth_False,BME,0.9213333333333333
isax,Car,0.9363888888888889
sfa_equi-width_True,Car,0.9619444444444445
sfa_equi-width_False,Car,0.9619444444444445
sfa_equi-depth_True,Car,0.96
sfa_equi-depth_False,Car,0.96
isax,CBF,0.7016666666666667
sfa_equi-width_True,CBF,0.7625185185185185
sfa_equi-width_False,CBF,0.7624074074074074
sfa_equi-depth_True,CBF,0.7327407407407407
sfa_equi-depth_False,CBF,0.7327037037037037
isax,Chinatown,0.9030612244897959
sfa_equi-width_True,Chinatown,0.917201166180758
sfa_equi-width_False,Chinatown,0.918804664723032
sfa_equi-depth_True,Chinatown,0.8864431486880466
sfa_equi-depth_False,Chinatown,0.8934402332361516
isax,ChlorineConcentration,0.9306338106709494
sfa_equi-width_True,ChlorineConcentration,0.9601027168094219
sfa_equi-width_False,ChlorineConcentration,0.9550332351891507
sfa_equi-depth_True,ChlorineConcentration,0.9603207530335476
sfa_equi-depth_False,ChlorineConcentration,0.9554559243397573
isax,CinCECGTorso,0.7050543478260869
sfa_equi-width_True,CinCECGTorso,0.7660144927536232
sfa_equi-width_False,CinCECGTorso,0.7548550724637682
sfa_equi-depth_True,CinCECGTorso,0.7518840579710144
sfa_equi-depth_False,CinCECGTorso,0.7403623188405797
isax,Coffee,0.7244897959183673
sfa_equi-width_True,Coffee,0.860969387755102
sfa_equi-width_False,Coffee,0.8635204081632653
sfa_equi-depth_True,Coffee,0.8278061224489796
sfa_equi-depth_False,Coffee,0.822704081632653
isax,Computers,0.7163039999999999
sfa_equi-width_True,Computers,0.782384
sfa_equi-width_False,Computers,0.782384
sfa_equi-depth_True,Computers,0.78048
sfa_equi-depth_False,Computers,0.78048
isax,CricketX,0.8497107166337936
sfa_equi-width_True,CricketX,0.8961143984220907
sfa_equi-width_False,CricketX,0.8961143984220907
sfa_equi-depth_True,CricketX,0.894181459566075
sfa_equi-depth_False,CricketX,0.894181459566075
isax,CricketY,0.8989546351084813
sfa_equi-width_True,CricketY,0.9365023011176857
sfa_equi-width_False,CricketY,0.9365023011176857
sfa_equi-depth_True,CricketY,0.936232741617357
sfa_equi-depth_False,CricketY,0.936232741617357
isax,CricketZ,0.8498159105851414
sfa_equi-width_True,CricketZ,0.8998159105851413
sfa_equi-width_False,CricketZ,0.8998159105851413
sfa_equi-depth_True,CricketZ,0.8987310979618672
sfa_equi-depth_False,CricketZ,0.8987310979618672
isax,Crop,0.9918778191137566
sfa_equi-width_True,Crop,0.9940272982804232
sfa_equi-width_False,Crop,0.9938419229497355
sfa_equi-depth_True,Crop,0.994289558531746
sfa_equi-depth_False,Crop,0.9941085400132276
isax,DiatomSizeReduction,0.8551879084967321
sfa_equi-width_True,DiatomSizeReduction,0.9168709150326798
sfa_equi-width_False,DiatomSizeReduction,0.9168709150326798
sfa_equi-depth_True,DiatomSizeReduction,0.8972630718954249
sfa_equi-depth_False,DiatomSizeReduction,0.8964460784313726
isax,DistalPhalanxOutlineAgeGroup,0.9452697841726618
sfa_equi-width_True,DistalPhalanxOutlineAgeGroup,0.9789748201438849
sfa_equi-width_False,DistalPhalanxOutlineAgeGroup,0.9801978417266187
sfa_equi-depth_True,DistalPhalanxOutlineAgeGroup,0.9796402877697842
sfa_equi-depth_False,DistalPhalanxOutlineAgeGroup,0.980863309352518
isax,DistalPhalanxOutlineCorrect,0.9595833333333333
sfa_equi-width_True,DistalPhalanxOutlineCorrect,0.9820591787439613
sfa_equi-width_False,DistalPhalanxOutlineCorrect,0.9822705314009662
sfa_equi-depth_True,DistalPhalanxOutlineCorrect,0.9854166666666666
sfa_equi-depth_False,DistalPhalanxOutlineCorrect,0.9853683574879227
isax,DistalPhalanxTW,0.9431654676258993
sfa_equi-width_True,DistalPhalanxTW,0.9780935251798561
sfa_equi-width_False,DistalPhalanxTW,0.9786690647482015
sfa_equi-depth_True,DistalPhalanxTW,0.9787769784172662
sfa_equi-depth_False,DistalPhalanxTW,0.979658273381295
isax,DodgerLoopDay,0.3282051282051282
sfa_equi-width_True,DodgerLoopDay,0.3871794871794872
sfa_equi-width_False,DodgerLoopDay,0.38669871794871796
sfa_equi-depth_True,DodgerLoopDay,0.3766025641025641
sfa_equi-depth_False,DodgerLoopDay,0.3753205128205128
isax,DodgerLoopGame,0.2536231884057971
sfa_equi-width_True,DodgerLoopGame,0.3184782608695652
sfa_equi-width_False,DodgerLoopGame,0.3177536231884058
sfa_equi-depth_True,DodgerLoopGame,0.2510869565217391
sfa_equi-depth_False,DodgerLoopGame,0.25434782608695655
isax,DodgerLoopWeekend,0.3427536231884058
sfa_equi-width_True,DodgerLoopWeekend,0.4032608695652174
sfa_equi-width_False,DodgerLoopWeekend,0.4032608695652174
sfa_equi-depth_True,DodgerLoopWeekend,0.35253623188405797
sfa_equi-depth_False,DodgerLoopWeekend,0.35833333333333334
isax,Earthquakes,0.0
sfa_equi-width_True,Earthquakes,0.0
sfa_equi-width_False,Earthquakes,0.0
sfa_equi-depth_True,Earthquakes,0.0
sfa_equi-depth_False,Earthquakes,0.0
isax,ECG200,0.8958
sfa_equi-width_True,ECG200,0.909
sfa_equi-width_False,ECG200,0.9068
sfa_equi-depth_True,ECG200,0.909
sfa_equi-depth_False,ECG200,0.9067000000000001
isax,ECG5000,0.9425782222222222
sfa_equi-width_True,ECG5000,0.961336
sfa_equi-width_False,ECG5000,0.9668031111111111
sfa_equi-depth_True,ECG5000,0.9638568888888889
sfa_equi-depth_False,ECG5000,0.9692133333333333
isax,ECGFiveDays,0.6423269201636116
sfa_equi-width_True,ECGFiveDays,0.7878099277887189
sfa_equi-width_False,ECGFiveDays,0.7489774276624754
sfa_equi-depth_True,ECGFiveDays,0.7504923496439934
sfa_equi-depth_False,ECGFiveDays,0.7114073625208303
isax,EOGHorizontalSignal,0.9703916241872957
sfa_equi-width_True,EOGHorizontalSignal,0.9813879307713439
sfa_equi-width_False,EOGHorizontalSignal,0.9814337169195079
sfa_equi-depth_True,EOGHorizontalSignal,0.9818381612282896
sfa_equi-depth_False,EOGHorizontalSignal,0.9819526265986996
isax,EOGVerticalSignal,0.9537254662556087
sfa_equi-width_True,EOGVerticalSignal,0.9738942645218399
sfa_equi-width_False,EOGVerticalSignal,0.9741003021885778
sfa_equi-depth_True,EOGVerticalSignal,0.9742910778059277
sfa_equi-depth_False,EOGVerticalSignal,0.9745581636702175
isax,EthanolLevel,0.9071309523809523
sfa_equi-width_True,EthanolLevel,0.9817420634920635
sfa_equi-width_False,EthanolLevel,0.9507936507936507
sfa_equi-depth_True,EthanolLevel,0.9826626984126984
sfa_equi-depth_False,EthanolLevel,0.9533095238095237
isax,FaceAll,0.5044505494505495
sfa_equi-width_True,FaceAll,0.8171111580726966
sfa_equi-width_False,FaceAll,0.6089158918005072
sfa_equi-depth_True,FaceAll,0.8156635672020288
sfa_equi-depth_False,FaceAll,0.6079469568892646
isax,FaceFour,0.2012310606060606
sfa_equi-width_True,FaceFour,0.5899621212121212
sfa_equi-width_False,FaceFour,0.29829545454545453
sfa_equi-depth_True,FaceFour,0.5449810606060607
sfa_equi-depth_False,FaceFour,0.26704545454545453
isax,FacesUCR,0.49617560975609754
sfa_equi-width_True,FacesUCR,0.8023512195121951
sfa_equi-width_False,FacesUCR,0.5902487804878048
sfa_equi-depth_True,FacesUCR,0.7995024390243902
sfa_equi-depth_False,FacesUCR,0.5867829268292682
isax,FiftyWords,0.9807081807081807
sfa_equi-width_True,FiftyWords,0.9911794871794871
sfa_equi-width_False,FiftyWords,0.9911794871794871
sfa_equi-depth_True,FiftyWords,0.9910378510378509
sfa_equi-depth_False,FiftyWords,0.9910378510378509
isax,Fish,0.939134693877551
sfa_equi-width_True,Fish,0.970612244897959
sfa_equi-width_False,Fish,0.9725061224489795
sfa_equi-depth_True,Fish,0.9709061224489796
sfa_equi-depth_False,Fish,0.972604081632653
isax,FordA,0.0
sfa_equi-width_True,FordA,0.7317725295162119
sfa_equi-width_False,FordA,0.0
sfa_equi-depth_True,FordA,0.7245622007354859
sfa_equi-depth_False,FordA,0.0
isax,FordB,0.0
sfa_equi-width_True,FordB,0.7346079669695365
sfa_equi-width_False,FordB,0.0
sfa_equi-depth_True,FordB,0.7328528840538375
sfa_equi-depth_False,FordB,0.0
isax,FreezerRegularTrain,0.941246783625731
sfa_equi-width_True,FreezerRegularTrain,0.9470947368421052
sfa_equi-width_False,FreezerRegularTrain,0.9472959064327485
sfa_equi-depth_True,FreezerRegularTrain,0.9475672514619883
sfa_equi-depth_False,FreezerRegularTrain,0.9476608187134502
isax,FreezerSmallTrain,0.8746741854636592
sfa_equi-width_True,FreezerSmallTrain,0.8835714285714286
sfa_equi-width_False,FreezerSmallTrain,0.8836340852130327
sfa_equi-depth_True,FreezerSmallTrain,0.8796115288220552
sfa_equi-depth_False,FreezerSmallTrain,0.8797994987468672
isax,Fungi,0.9121863799283153
sfa_equi-width_True,Fungi,0.9316009557945041
sfa_equi-width_False,Fungi,0.9316009557945041
sfa_equi-depth_True,Fungi,0.9283154121863799
sfa_equi-depth_False,Fungi,0.9283154121863799
isax,GestureMidAirD1,0.9836908284023669
sfa_equi-width_True,GestureMidAirD1,0.989164201183432
sfa_equi-width_False,GestureMidAirD1,0.9892011834319526
sfa_equi-depth_True,GestureMidAirD1,0.9893121301775148
sfa_equi-depth_False,GestureMidAirD1,0.9888683431952663
isax,GestureMidAirD2,0.9666420118343195
sfa_equi-width_True,GestureMidAirD2,0.9771079881656805
sfa_equi-width_False,GestureMidAirD2,0.9777366863905326
sfa_equi-depth_True,GestureMidAirD2,0.978439349112426
sfa_equi-depth_False,GestureMidAirD2,0.9790310650887574
isax,GestureMidAirD3,0.985207100591716
sfa_equi-width_True,GestureMidAirD3,0.9887943786982248
sfa_equi-width_False,GestureMidAirD3,0.9887943786982248
sfa_equi-depth_True,GestureMidAirD3,0.988905325443787
sfa_equi-depth_False,GestureMidAirD3,0.9889423076923077
isax,GesturePebbleZ1,0.5614429175475687
sfa_equi-width_True,GesturePebbleZ1,0.6564041578576463
sfa_equi-width_False,GesturePebbleZ1,0.6564041578576463
sfa_equi-depth_True,GesturePebbleZ1,0.6515151515151515
sfa_equi-depth_False,GesturePebbleZ1,0.6515151515151515
isax,GesturePebbleZ2,0.5573955262701578
sfa_equi-width_True,GesturePebbleZ2,0.6627362580197677
sfa_equi-width_False,GesturePebbleZ2,0.6631264088780995
sfa_equi-depth_True,GesturePebbleZ2,0.6576209467660828
sfa_equi-depth_False,GesturePebbleZ2,0.657837697242934
isax,GunPoint,0.9585333333333333
sfa_equi-width_True,GunPoint,0.9698666666666668
sfa_equi-width_False,GunPoint,0.9698666666666668
sfa_equi-depth_True,GunPoint,0.9677333333333333
sfa_equi-depth_False,GunPoint,0.9677333333333333
isax,GunPointAgeSpan,0.9838724800750117
sfa_equi-width_True,GunPointAgeSpan,0.9875058602906703
sfa_equi-width_False,GunPointAgeSpan,0.9875058602906703
sfa_equi-depth_True,GunPointAgeSpan,0.987740271917487
sfa_equi-depth_False,GunPointAgeSpan,0.987740271917487
isax,GunPointMaleVersusFemale,0.9836849507735583
sfa_equi-width_True,GunPointMaleVersusFemale,0.988021565869667
sfa_equi-width_False,GunPointMaleVersusFemale,0.988021565869667
sfa_equi-depth_True,GunPointMaleVersusFemale,0.9879043600562588
sfa_equi-depth_False,GunPointMaleVersusFemale,0.9879043600562588
isax,GunPointOldVersusYoung,0.9827731092436974
sfa_equi-width_True,GunPointOldVersusYoung,0.9876517273576096
sfa_equi-width_False,GunPointOldVersusYoung,0.9876517273576096
sfa_equi-depth_True,GunPointOldVersusYoung,0.9877450980392156
sfa_equi-depth_False,GunPointOldVersusYoung,0.9877450980392156
isax,Ham,0.3791175185670599
sfa_equi-width_True,Ham,0.525469637396243
sfa_equi-width_False,Ham,0.525644386194845
sfa_equi-depth_True,Ham,0.5198776758409787
sfa_equi-depth_False,Ham,0.5187418086500656
isax,HandOutlines,0.9847594594594594
sfa_equi-width_True,HandOutlines,0.9944189189189189
sfa_equi-width_False,HandOutlines,0.9950243243243243
sfa_equi-depth_True,HandOutlines,0.9970864864864865
sfa_equi-depth_False,HandOutlines,0.9974162162162161
isax,Haptics,0.9191663175534144
sfa_equi-width_True,Haptics,0.9557394218684542
sfa_equi-width_False,Haptics,0.9557394218684542
sfa_equi-depth_True,Haptics,0.9569962295768747
sfa_equi-depth_False,Haptics,0.9569962295768747
isax,Herring,0.8671875
sfa_equi-width_True,Herring,0.92724609375
sfa_equi-width_False,Herring,0.92919921875
sfa_equi-depth_True,Herring,0.922119140625
sfa_equi-depth_False,Herring,0.922607421875
isax,HouseTwenty,0.32142857142857145
sfa_equi-width_True,HouseTwenty,0.3836134453781513
sfa_equi-width_False,HouseTwenty,0.3836134453781513
sfa_equi-depth_True,HouseTwenty,0.344327731092437
sfa_equi-depth_False,HouseTwenty,0.344327731092437
isax,InlineSkate,0.9799818181818182
sfa_equi-width_True,InlineSkate,0.9856909090909091
sfa_equi-width_False,InlineSkate,0.9856909090909091
sfa_equi-depth_True,InlineSkate,0.9858909090909092
sfa_equi-depth_False,InlineSkate,0.9858909090909092
isax,InsectEPGRegularTrain,0.919937815779246
sfa_equi-width_True,InsectEPGRegularTrain,0.934641792978365
sfa_equi-width_False,InsectEPGRegularTrain,0.935613421427646
sfa_equi-depth_True,InsectEPGRegularTrain,0.9313382562508097
sfa_equi-depth_False,InsectEPGRegularTrain,0.932568985619899
isax,InsectEPGSmallTrain,0.8362863217576187
sfa_equi-width_True,InsectEPGSmallTrain,0.8606189463737303
sfa_equi-width_False,InsectEPGSmallTrain,0.8599102291519017
sfa_equi-depth_True,InsectEPGSmallTrain,0.8270729978738484
sfa_equi-depth_False,InsectEPGSmallTrain,0.8266005197259627
isax,InsectWingbeatSound,0.9463475665748393
sfa_equi-width_True,InsectWingbeatSound,0.9694467401285584
sfa_equi-width_False,InsectWingbeatSound,0.9667837465564738
sfa_equi-depth_True,InsectWingbeatSound,0.969127640036731
sfa_equi-depth_False,InsectWingbeatSound,0.9666850321395776
isax,ItalyPowerDemand,0.9561376789521779
sfa_equi-width_True,ItalyPowerDemand,0.9659718898220269
sfa_equi-width_False,ItalyPowerDemand,0.9639847410179424
sfa_equi-depth_True,ItalyPowerDemand,0.9623602106087638
sfa_equi-depth_False,ItalyPowerDemand,0.9601554907677357
isax,LargeKitchenAppliances,0.33634844444444445
sfa_equi-width_True,LargeKitchenAppliances,0.444544
sfa_equi-width_False,LargeKitchenAppliances,0.4464924444444444
sfa_equi-depth_True,LargeKitchenAppliances,0.4426168888888889
sfa_equi-depth_False,LargeKitchenAppliances,0.4447928888888889
isax,Lightning2,0.5292349726775957
sfa_equi-width_True,Lightning2,0.5800546448087431
sfa_equi-width_False,Lightning2,0.5860655737704918
sfa_equi-depth_True,Lightning2,0.5699453551912568
sfa_equi-depth_False,Lightning2,0.5770491803278689
